# ----------------------------------------
# wiki.ubc.ca
# Top Events
# 20140405-20140505
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
78840,2,2,0,0.00
7885,2,2,0,0.00
78850,2,2,0,0.00
7887,2,2,0,0.00
78890,2,2,0,0.00
78898,2,2,0,0.00
78911,2,2,0,0.00
78915,2,2,0,0.00
7893,2,2,0,0.00
78955,2,2,0,0.00
78960,2,2,0,0.00
78963,2,2,0,0.00
78973,2,2,0,0.00
79004,2,2,0,0.00
7902,2,2,0,0.00
79024,2,2,0,0.00
7907,2,2,0,0.00
79079,2,2,0,0.00
7909,2,2,0,0.00
79100,2,2,0,0.00
79105,2,2,0,0.00
7913,2,2,0,0.00
79134,2,2,0,0.00
7914,2,2,0,0.00
79154,2,2,0,0.00
7919,2,2,0,0.00
79240,2,2,0,0.00
79272,2,2,0,0.00
79303,2,2,0,0.00
79330,2,2,0,0.00
7937,2,2,0,0.00
79415,2,2,0,0.00
79432,2,2,0,0.00
79483,2,2,0,0.00
79493,2,2,0,0.00
7950,2,2,0,0.00
79508,2,2,0,0.00
79512,2,2,0,0.00
79538,2,2,0,0.00
7955,2,2,0,0.00
79553,2,2,0,0.00
79562,2,2,0,0.00
79603,2,2,0,0.00
7962,2,2,0,0.00
7964,2,2,0,0.00
79664,2,2,0,0.00
79692,2,2,0,0.00
79733,2,2,0,0.00
79736,2,2,0,0.00
79745,2,2,0,0.00
79751,2,2,0,0.00
79753,2,2,0,0.00
7976,2,2,0,0.00
79770,2,2,0,0.00
7980,2,2,0,0.00
79809,2,2,0,0.00
79817,2,2,0,0.00
79853,2,2,0,0.00
7986,2,2,0,0.00
79862,2,2,0,0.00
79873,2,2,0,0.00
7988,2,2,0,0.00
79884,2,2,0,0.00
7989,2,2,0,0.00
79903,2,2,0,0.00
79917,2,2,0,0.00
79927,2,2,0,0.00
7993,2,2,0,0.00
79947,2,2,0,0.00
79953,2,2,0,0.00
7997,2,2,0,0.00
79976,2,2,0,0.00
79978,2,2,0,0.00
7998,2,2,0,0.00
79983,2,2,0,0.00
79988,2,2,0,0.00
7999,2,2,0,0.00
79993,2,2,0,0.00
8002,2,2,0,0.00
80032,2,2,0,0.00
80115,2,2,0,0.00
80136,2,2,0,0.00
80140,2,2,0,0.00
80158,2,2,0,0.00
8017,2,2,0,0.00
80187,2,2,0,0.00
8019,2,2,0,0.00
80193,2,2,0,0.00
8020,2,2,0,0.00
8021,2,2,0,0.00
80217,2,2,0,0.00
8022,2,2,0,0.00
8023,2,2,0,0.00
80230,2,2,0,0.00
8026,2,2,0,0.00
80267,2,2,0,0.00
80273,2,2,0,0.00
80285,2,2,0,0.00
8029,2,2,0,0.00
80322,2,2,0,0.00
80343,2,2,0,0.00
8037,2,2,0,0.00
8038,2,2,0,0.00
80385,2,2,0,0.00
80390,2,2,0,0.00
80391,2,2,0,0.00
80400,2,2,0,0.00
80404,2,2,0,0.00
8041,2,2,0,0.00
80418,2,2,0,0.00
8042,2,2,0,0.00
80425,2,2,0,0.00
8053,2,2,0,0.00
80549,2,2,0,0.00
8055,2,2,0,0.00
80551,2,2,0,0.00
80557,2,2,0,0.00
8056,2,2,0,0.00
8057,2,2,0,0.00
8059,2,2,0,0.00
80592,2,2,0,0.00
80609,2,2,0,0.00
8065,2,2,0,0.00
8067,2,2,0,0.00
80679,2,2,0,0.00
80680,2,2,0,0.00
80684,2,2,0,0.00
8069,2,2,0,0.00
80694,2,2,0,0.00
8070,2,2,0,0.00
80714,2,2,0,0.00
80718,2,2,0,0.00
8074,2,2,0,0.00
80744,2,2,0,0.00
80760,2,2,0,0.00
80765,2,2,0,0.00
80774,2,2,0,0.00
8078,2,2,0,0.00
8082,2,2,0,0.00
8086,2,2,0,0.00
80874,2,2,0,0.00
80875,2,2,0,0.00
8088,2,2,0,0.00
80887,2,2,0,0.00
8089,2,2,0,0.00
80904,2,2,0,0.00
80914,2,2,0,0.00
8092,2,2,0,0.00
80925,2,2,0,0.00
80945,2,2,0,0.00
80959,2,2,0,0.00
80993,2,2,0,0.00
81006,2,2,0,0.00
81026,2,2,0,0.00
8103,2,2,0,0.00
81036,2,2,0,0.00
81082,2,2,0,0.00
81085,2,2,0,0.00
81095,2,2,0,0.00
8110,2,2,0,0.00
81135,2,2,0,0.00
81146,2,2,0,0.00
8115,2,2,0,0.00
81185,2,2,0,0.00
81232,2,2,0,0.00
81293,2,2,0,0.00
8132,2,2,0,0.00
8134,2,2,0,0.00
81340,2,2,0,0.00
81344,2,2,0,0.00
8135,2,2,0,0.00
8136,2,2,0,0.00
81362,2,2,0,0.00
81378,2,2,0,0.00
8138,2,2,0,0.00
81394,2,2,0,0.00
81425,2,2,0,0.00
81438,2,2,0,0.00
8146,2,2,0,0.00
8147,2,2,0,0.00
81479,2,2,0,0.00
81542,2,2,0,0.00
8158,2,2,0,0.00
81593,2,2,0,0.00
81602,2,2,0,0.00
81609,2,2,0,0.00
8162,2,2,0,0.00
81638,2,2,0,0.00
81640,2,2,0,0.00
8165,2,2,0,0.00
81692,2,2,0,0.00
81723,2,2,0,0.00
8173,2,2,0,0.00
81749,2,2,0,0.00
8177,2,2,0,0.00
8179,2,2,0,0.00
81806,2,2,0,0.00
81808,2,2,0,0.00
81854,2,2,0,0.00
8187,2,2,0,0.00
81889,2,2,0,0.00
81896,2,2,0,0.00
81930,2,2,0,0.00
81945,2,2,0,0.00
8195,2,2,0,0.00
81950,2,2,0,0.00
81951,2,2,0,0.00
81970,2,2,0,0.00
81991,2,2,0,0.00
82040,2,2,0,0.00
8205,2,2,0,0.00
8206,2,2,0,0.00
8208,2,2,0,0.00
82096,2,2,0,0.00
82098,2,2,0,0.00
8210,2,2,0,0.00
82117,2,2,0,0.00
82124,2,2,0,0.00
82151,2,2,0,0.00
8216,2,2,0,0.00
